ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
1799,cool,خنک; آرام,凉爽的 (liángshuǎng de),ठंडा (ṭhanḍā),fresco; guay,frais,بارد (bārid),শীতল (shitol),fresco; legal,прохладный; клевый,ٹھنڈا (ṭhanḍā),sejuk,kühl,涼しい (suzushii),-a baridi,थंड (thaṇḍa),చల్లని (callani),serin; havalı,시원한 (siwonhan),fresco
1800,cooler,خنک کننده,冷却器 (lěngquèqì),कूलर (kūlar),enfriador,refroidisseur,مبرد (mubarrid),কুলার (kular),refrigerador,охладитель,کولر (cooler),pendingin,Kühler,クーラー (kūrā),kipozi,कूलर (kūlara),కూలర్ (kūlar),soğutucu,쿨러 (kulleo),refrigeratore
1801,cooperate,همکاری کردن,合作 (hézuò),सहयोग करना (sahyog karnā),cooperar,coopérer,يتعاون (yataʿāwanu),সহযোগিতা করা (shohijogita kora),cooperar,сотрудничать,تعاون کرنا (ta'āwun karna),bekerja sama,kooperieren,協力する (kyōryoku suru),kushirikiana,सहकार्य करणे (sahakārya karaṇē),సహకరించు (sahakarin̄cu),işbirliği yapmak,협력하다 (hyeoblyeoghada),cooperare
1802,cooperation,همکاری,合作 (hézuò),सहयोग (sahyog),cooperación,coopération,تعاون (taʿāwun),সহযোগিতা (shohijogita),cooperação,сотрудничество,تعاون (ta'āwun),kerja sama,Kooperation,協力 (kyōryoku),ushirikiano,सहकार्य (sahakārya),సహకారం (sahakāraṁ),işbirliği,협력 (hyeoblyeog),cooperazione
1803,cooperative,تعاونی; دارای روحیه همکاری,合作的 (hézuò de),सहकारी (sahkārī),cooperativo,coopératif,تعاوني (taʿāwunī),সমবায় (shomobay),cooperativo,кооперативный,باہمی (bāhamī),kooperatif,kooperativ,協力的な (kyōryokutekina),-a ushirika,सहकारी (sahakārī),సహకార (sahakāra),kooperatif; işbirlikçi,협동의 (hyeobdong-ui),cooperativo
1804,coordinate,هماهنگ کردن,协调 (xiétiáo),समन्वय करना (samanvay karnā),coordinar,coordonner,ينسق (yunassiqu),সমন্বয় করা (shomonboy kora),coordenar,координировать,ہم آہنگ کرنا (ham-āhang karna),mengoordinasikan,koordinieren,調整する (chōsei suru),kuratibu,समन्वय करणे (samanvaya karaṇē),సమన్వయం చేయు (samanvayaṁ cēyu),koordina etmek,조정하다 (jojonghada),coordinare
1805,coordination,هماهنگی,协调 (xiétiáo),समन्वय (samanvay),coordinación,coordination,تنسيق (tansīq),সমন্বয় (shomonboy),coordenação,координация,ہم آہنگی (ham-āhangī),koordinasi,Koordination,調整 (chōsei),uratibu,समन्वय (samanvaya),సమన్వయం (samanvayaṁ),koordinasyon,조정 (jojeong),coordinazione
1806,coordinator,هماهنگ‌کننده,协调员 (xiétiáoyuán),समन्वयक (samanvayak),coordinador,coordinateur,منسق (munassiq),সমন্বয়কারী (shomonboykari),coordenador,координатор,رابطہ کار (rābita-kār),koordinator,Koordinator,コーディネーター (kōdinētā),mratibu,समन्वयक (samanvayaka),సమన్వయకర్త (samanvayakartā),koordinatör,조정자 (jojeongja),coordinatore
1807,cop,پلیس,警察 (jǐngchá),पुलिस (pulis),policía,flic,شرطي (shurṭī),পুলিশ (pulish),policial,коп; полицейский,پولیس والا (police wālā),polisi,Bulle,警官 (keikan),askari,पोलीस (pōlīsa),పోలీసు (pōlīsu),polis; aynasız,경찰 (gyeongchal),sbirro; poliziotto
1808,cope,از عهده برآمدن,应对 (yìngduì),सामना करना (sāmnā karnā),hacer frente,faire face,يتأقلم (yataʾaqalamu),মোকাবিলা করা (mokabila kora),lidar,справляться,نمٹنا (nipatnā),mengatasi,bewältigen,対処する (taisho suru),kukabiliana,सामोरे जाणे (sāmōrē jāṇē), சமாளிக்கగలుగు ( samāḷikagalugu ),üstesinden gelmek,대처하다 (daecheohada),farcela; affrontare
1809,copper,مس,铜 (tóng),तांबा (tāmbā),cobre,cuivre,نحاس (nuḥās),তামা (tama),cobre,медь,تانبا (tāñbā),tembaga,Kupfer,銅 (dō),shaba,तांबे (tāmbē),రాగి (rāgi),bakır,구리 (guli),rame
1810,copy,کپی; کپی کردن,复制 (fùzhì),प्रतिलिपि (pratilipi),copia; copiar,copie; copier,نسخة (nuskhah),নকল (nokol),cópia; copiar,копия; копировать,نقل (naql),salinan; menyalin,Kopie; kopieren,コピー (kopī),nakala,प्रत (prata),కాపీ (kāpī),kopya; kopyalamak,복사 (bogsa),copia; copiare
1811,copyright,حق چاپ,版权 (bǎnquán),कॉपीराइट (kŏpīrā'iṭ),derechos de autor,droit d'auteur,حقوق النشر (ḥuqūq al-nashr),কপিরাইট (kopiraiṭ),direitos autorais,авторское право,حق اشاعت (haqq-e-ishā'at),hak cipta,Urheberrecht,著作権 (chosakuken),hakimiliki,कॉपीराइट (kŏpīrā'īṭa),కాపీరైట్ (kāpīraiṭ),telif hakkı,저작권 (jeojaggwon),diritto d'autore
1812,coral,مرجان,珊瑚 (shānhú),मूंगा (mūṅgā),coral,corail,مرجان (murjān),প্রবাল (probal),coral,коралл,مونگا (mūngā),koral,Koralle,サンゴ (sango),marijani,पोवळे (pōvaḷē),పగడం (pagaḍaṁ),mercan,산호 (sanho),corallo
1813,cordon,نوار امنیتی; محاصره کردن,警戒线 (jǐngjièxiàn),घेरा (gherā),cordón,cordon,طوق (ṭawq),বেষ্টনী (beshtoni),cordão,кордон; оцепление,گھیرا (gherā),barikade,Absperrung,非常線 (hijōsen),kamba ya usalama,वेढा (vēḍhā),దిగ్బంధం (digbandhaṁ),kordon,방어선 (bang-eoseon),cordone
1814,core,هسته; مرکز,核心 (héxīn),सार (sār),núcleo,noyau,لب (lubb),কেন্দ্র (kendro),núcleo,ядро; суть,مرکز (markaz),inti,Kern,核 (kaku),kiini,गाभा (gābhā),మూలం (mūlaṁ),çekirdek; öz,핵심 (haegsim),nucleo; cuore
1815,corn,ذرت,玉米 (yùmǐ),मक्का (makkā),maíz,maïs,ذرة (dhurah),ভূট্টা (bhutta),milho,кукуруза,مکئی (mak'ī),jagung,Mais,トウモロコシ (tōmorokoshi),mahindi,मका (makā),మొక్కజొన్న (mokkajonna),mısır,옥수수 (ogsusu),mais
1816,corner,گوشه,角落 (jiǎoluò),कोना (konā),esquina,coin,زاوية (zāwiyah),কোণ (kon),canto; esquina,угол,کونا (konā),sudut,Ecke,角 (kado),kona,कोपरा (kōparā),మూల (mūla),köşe,모퉁이 (motung-i),angolo
1817,cornerstone,سنگ بنا,基石 (jīshí),आधारशिला (ādhārśilā),piedra angular,pierre angulaire,حجر الزاوية (ḥajar al-zāwiyah),ভিত্তিপ্রস্তর (bhittiprostor),pedra angular,краеугольный камень,سنگ بنیاد (sang-e-bunyād),batu penjuru,Grundstein,礎 (ishizue),jiwe la msingi,पाया (pāyā),మూలస్తంభం (mūlastambhaṁ),temel taşı,초석 (choseog),pietra angolare
1818,cornet,کرنت,短号 (duǎnhào),कॉर्नेट (kŏrneṭ),corneta,cornet,كورنيت (kūrnīt),কর্নেট (korneṭ),corneta,корнет,کارنٹ (cornet),kornet,Kornett,コルネット (korunetto),korneti,कॉर्नेट (kŏrnēṭa),కొమ్ము (kom'mu),kornet,코넷 (kones),cornetta
1819,corona,تاج; هاله,日冕 (rìmiǎn),कोरोना (koronā),corona,couronne,هالة (hālah),করোনা (korona),coroa,корона,کرونا (corona),korona,Korona,コロナ (korona),korona,कोरोना (kōrōnā),కరోనా (karōnā),korona; hale,코로나 (kolona),corona
1820,corporal,سرجوخه; بدنی,下士 (xiàshì),शारीरिक (śārīrik),cabo; corporal,caporal; corporel,عريف (ʿarīf),কর্পোরাল (korporal),cabo; corporal,капрал; телесный,کارپورل (corporal),kopral; badania jasmani,Gefreiter; körperlich,伍長 (gochō),koplo,कॉर्पोरल (kŏrpōrala),శారీరక (śārīraka),onbaşı; bedensel,상병 (sangbyeong),caporale; corporale
1821,corporate,شرکتی,公司的 (gōngsī de),कॉर्पोरेट (kŏrporeṭ),corporativo,d'entreprise,شركاتي (sharikātī),কর্পোরেট (korporet),corporativo,корпоративный,کارپوریٹ (corporate),korporat,Unternehmens-,企業の (kigyō no),-a shirika,कॉर्पोरेट (kŏrpōrēṭa),కార్పొరేట్ (kārporēṭ),kurumsal,기업의 (gieob-ui),aziendale
1822,corporation,شرکت,公司 (gōngsī),निगम (nigam),corporación,société,شركة (sharikah),কর্পোরেশন (korporeshon),corporação,корпорация,کارپوریشن (corporation),korporasi,Konzern; Kapitalgesellschaft,株式会社 (kabushikigaisha),shirika,कॉर्पोरेशन (kŏrpōrēśana),కార్పొరేషన్ (kārporēṣan),şirket; kurum,법인 (beob-in),società per azioni
1823,corps,سپاه,军团 (jūntuán),दल (dal),cuerpo,corps,فيلق (faylaq),কোর (kor),corpo,корпус,کور (corps),korps,Korps,軍団 (gundan),kikosi,दल (dala),దళం (daḷaṁ),kolordu,군단 (gundan),corpo
1824,corpse,جسد; جنازه,尸体 (shītǐ),शव (śav),cadáver,cadavre,جثة (juththah),শব (shob),cadáver,труп,لاش (lāsh),mayat,Leiche,死体 (shitai),maiti,प्रेत (prēta),శవం (śavaṁ),ceset; naaş,시체 (siche),cadavere
1825,corpus,پیکره,语料库 (yǔliàokù),कॉर्पस (kŏrpas),corpus,corpus,متن (matn),কর্পাস (korpas),corpus,корпус (текстов),متن (matn),korpus,Korpus,コーパス (kōpasu),mkusanyiko,कॉर्पस (kŏrpasa),కార్పస్ (kārpas),derlem,말뭉치 (malmungchi),corpus
1826,correct,صحیح; تصحیح کردن,正确的 (zhèngquè de),सही (sahī),correcto; corregir,correct; corriger,صحيح (ṣaḥīḥ),সঠিক (sothik),correto; corrigir,правильный; исправлять,درست (durust),benar; mengoreksi,richtig; korrigieren,正しい (tadashii),sahihi,बरोबर (barōbara),సరైన (saraina),doğru; düzeltmek,옳은; 수정하다 (olh-eun; sujeonghada),corretto; correggere
1827,correction,اصلاح,改正 (gǎizhèng),सुधार (sudhār),corrección,correction,تصحيح (taṣḥīḥ),সংশোধন (shongshodhon),correção,исправление; поправка,درستگی (durustī),koreksi,Korrektur,訂正 (teisei),masahihisho,सुधारणा (sudhāraṇā),దిద్దుబాటు (did'dubāṭu),düzeltme,수정 (sujeong),correzione
1828,correctly,به درستی,正确地 (zhèngquè de),सही ढंग से (sahī ḍhaṅg se),correctamente,correctement,بشكل صحيح (bi-shaklin ṣaḥīḥin),সঠিকভাবে (sothikbhabe),corretamente,правильно,درست طور پر (durust taur par),dengan benar,richtig,正しく (tadashiku),sahihi,बरोबर (barōbara),సరిగ్గా (sariggā),doğru bir şekilde,올바르게 (olbaleuge),correttamente
1829,correctness,درستی,正确性 (zhèngquèxìng),सटीकता (saṭīkatā),corrección,exactitude,صحة (ṣiḥḥah),সঠিকতা (sothikota),correção,правильность,درستگی (durustī),kebenaran,Korrektheit,正確さ (seikakusa),usahihi,बरोबरपणा (barōbarapaṇā),సరియైనది (sariyainadi),doğruluk,정확성 (jeonghwagseong),correttezza
1830,correlate,مرتبط کردن,相互关联 (xiānghù guānlián),सहसंबंधित होना (sahsanbandhit honā),correlacionar,mettre en corrélation,يربط (yarbiṭu),পারস্পরিক সম্পর্কযুক্ত করা (parosporik shomporkojukto kora),correlacionar,соотносить(ся),باہمی تعلق ہونا (bāhamī ta'alluq honā),berkorelasi,korrelieren,相関させる (sōkan saseru),kuhusiana,सहసంబంధ असणे (sahasanbandha asaṇē),పరస్పర సంబంధం కలిగియుండు (paraspara sambandhaṁ kaligiyuṇḍu),ilişkilendirmek; korelasyon kurmak,서로 관련시키다 (seolo gwanlyeonsikida),correlare
1831,correlation,همبستگی,相关性 (xiāngguānxìng),सहसंबंध (sahsanbandh),correlación,corrélation,ارتباط (irtibāṭ),পারস্পরিক সম্পর্ক (parosporik shomporko),correlação,корреляция,باہمی تعلق (bāhamī ta'alluq),korelasi,Korrelation,相関 (sōkan),uhusiano,सहसंबंध (sahasanbandha),పరస్పర సంబంధం (paraspara sambandhaṁ),korelasyon; ilişki,상관관계 (sang-gwan-gwangye),correlazione
1832,correspond,مطابقت داشتن; مکاتبه کردن,符合 (fúhé); 通信 (tōngxìn),पत्र-व्यवहार करना (patra-vyavahār karnā),corresponder,correspondre,يتوافق (yatawāfaqu),পত্রালাপ করা (potralap kora),corresponder-se,соответствовать; переписываться,خط و کتابت کرنا (khat-o-kitābat karnā),berkorespondensi,korrespondieren,一致する (itchi suru),kuandikiana,पत्रव्यवहार करणे (patravyavahāra karaṇē),అనుగుణంగా ఉండు (anuguṇaṅgā uṇḍu),tekabül etmek; yazışmak,해당하다 (haedanghada),corrispondere
1833,correspondence,مکاتبات,通信 (tōngxìn),पत्र-व्यवहार (patra-vyavahār),correspondencia,correspondance,مراسلة (murāsalah),পত্রালাপ (potralap),correspondência,переписка,خط و کتابت (khat-o-kitābat),korespondensi,Korrespondenz,通信 (tsūshin),mawasiliano,पत्रव्यवहार (patravyavahāra),జాబుల మార్పిడి (jābula mārpiḍi),yazışma; mektuplaşma,서신 (seosin),corrispondenza
